Manufacturer number,Article Number,EAN,Technical details,Product category,Technical specifications,Picture normal reduced,Depth m,Width m,Length m,Weight kg,Delivery time days,Type of product,Price quantity,ETIM Features,ETIM,ECLASS Features,ECLASS,PROFICLASS Features,PROFICLASS,Product features,Short description,Short description 2,Long description,Language,Manufacturer name,Is Complete,Missing Fields Count,Description Quality
0 601 6B4 000,06016B4000,,"§Titel§Akku-Tauchsäge BITURBO GKT 18V-52 GC Professional§|§Neuheit bis§01.08.2020§|§SOL Datum§01.05.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§444§mm|§Verpackungsabmessungen (Höhe)§254§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 444 x 254§mm|§Akkuspannung§18,0 V§|§Sägeblattbohrungs-Ø§20§mm|§Leerlaufdrehzahl, von§2.800§min-1|§Leerlaufdrehzahl, bis zu§5.500§min-1|§Leerlaufdrehzahl§2.800 – 5.500§min-1|§Gewicht exkl. Akku§4,1§kg|§Sägeblattdurchmesser§140§mm|§Führungsplatte (Länge)§305§mm|§Führungsplatte (Breite)§169§mm|§Führungsplatte§305 x 169§mm|§Neigungswinkel, von§-1§°|§Neigungswinkel, bis§47§°|§Neigungswinkel§-1 - 47§°|§Werkzeugabmessungen (Breite)§209§mm|§Werkzeugabmessungen (Länge)§374§mm|§Werkzeugabmessungen (Höhe)§234§mm|§Schnitttiefe ohne Führungsschiene (90°)§52§mm|§Schnitttiefe mit Führungsschiene (90°)§46§mm|§Schnitttiefe ohne Führungsschiene (45°)§32§mm|§Schnitttiefe mit Führungsschiene (45°)§32§mm|§Unterteilung der Produktkategorien§Akku-Tauchsäge BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-298552-117_jpg/detail.jpg/normal.jpg,0.254,0.36,0.444,4.032,,main_product,1,,,,,,,,Akku-Tauchsäge BITURBO GKT 18V-52 GC in L-BOXX,GKT 18V-52 GC (L) solo CLC,"Akku-Tauchsäge BITURBO GKT 18V-52 GC, Die Akku-Tauchsäge GKT 18V-52 GC Professional aus dem 18V-Sortiment von Bosch bietet die Leistung eines Netzgeräts und ist extrem kompakt. Ihre innovative BITURBO Brushless-Technologie mit bürstenlosem Hochleistungsmotor und ProCORE18V liefert maximale kabellose Schnittleistung auf demselben Niveau wie entsprechende kabelgebundene Tauchsägen mit 1.620 Watt. Dank ihres einzigartigen kompakten Designs, das den Betrieb mit nur einem Akku ermöglicht, bietet die Säge höchste Mobilität. Ihre sehr kompakte Bauform ermöglicht einen minimalen Abstand von nur 10 mm zwischen Sägeblatt und Wand. Diese Tauchsäge eignet sich für Tauchschnitte in Holz, Holzverbundwerkstoffen, Platten und Plattenwerkstoffen sowie in Aluminium und Acrylglas. Es kann mit Staubsack verwendet werden und ist kompatibel mit dem Bosch Click & Clean System und den Führungsschienensystemen von Bosch, Festool, Mafell und Makita sowie mit allen Bosch Professional 18V-Akkus und -Ladegeräten (Professional 18V System). Für maximale Leistung ProCORE18V ≥ 5,5 Ah verwenden. Auch kompatibel mit AMPShare, der markenübergreifenden Akku-Allianz. Die GKT 18V-52 GC Professional zeichnet sich zudem durch konstante Drehzahl, Eco-Modus für eine bis zu 20 % längere Laufzeit, HMI, individuelle Drehzahleinstellung per App, Überlastschutz, Wiederanlaufschutz, Sanftanlauf und Spindelarretierung aus. 1 x Kreissägeblatt, Expert for Wood für Akku-Sägen, 140 x 1,8/1,3 x 20 mm, 42 (2 608 644 500). L-BOXX 238 (1 600 A01 2G2). Staubbeutel (2 608 000 696). 1 x Bluetooth Low Energy Modul GCY 42 Professional (1 600 A01 3WF). Innensechskantschlüssel",de,BOSCH,False,11,bad
0 601 6B4 000,06016B4000,,"§Titel§Akku-Tauchsäge BITURBO GKT 18V-52 GC Professional§|§Neuheit bis§01.08.2020§|§SOL Datum§01.05.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§444§mm|§Verpackungsabmessungen (Höhe)§254§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 444 x 254§mm|§Akkuspannung§18,0 V§|§Sägeblattbohrungs-Ø§20§mm|§Leerlaufdrehzahl, von§2.800§min-1|§Leerlaufdrehzahl, bis zu§5.500§min-1|§Leerlaufdrehzahl§2.800 – 5.500§min-1|§Gewicht exkl. Akku§4,1§kg|§Sägeblattdurchmesser§140§mm|§Führungsplatte (Länge)§305§mm|§Führungsplatte (Breite)§169§mm|§Führungsplatte§305 x 169§mm|§Neigungswinkel, von§-1§°|§Neigungswinkel, bis§47§°|§Neigungswinkel§-1 - 47§°|§Werkzeugabmessungen (Breite)§209§mm|§Werkzeugabmessungen (Länge)§374§mm|§Werkzeugabmessungen (Höhe)§234§mm|§Schnitttiefe ohne Führungsschiene (90°)§52§mm|§Schnitttiefe mit Führungsschiene (90°)§46§mm|§Schnitttiefe ohne Führungsschiene (45°)§32§mm|§Schnitttiefe mit Führungsschiene (45°)§32§mm|§Unterteilung der Produktkategorien§Akku-Tauchsäge BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-298552-117_jpg/detail.jpg/normal.jpg,0.254,0.36,0.444,4.032,,main_product,1,,,,,,,,Cordless plunge saw BITURBO GKT 18V-52 GC in L-BOXX,,,en,BOSCH,False,13,bad
0 601 9J4 002,06019J4002,,"§Titel§Akku-Winkelschleifer GWS 18V-10 Professional§|§Neuheit bis§01.08.2020§|§Verpackungsabmessungen (Breite)§160§mm|§Verpackungsabmessungen (Länge)§395§mm|§Verpackungsabmessungen (Höhe)§135§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§160 x 395 x 135§mm|§Akkuspannung§18,0 V§|§Leerlaufdrehzahl, bis zu§9.000§min-1|§Leerlaufdrehzahl§9.000§min-1|§Schleifspindelgewinde§M14§|§Gewicht exkl. Akku§2,1§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-318277-117_jpg/detail.jpg/normal.jpg,0.135,0.16,0.395,1.4240000000000002,,main_product,1,,,,,,,,"Akku-Winkelschleifer GWS 18V-10, 125 mm,","GWS 18V-10 (C, 125 mm) CLC","Akku-Winkelschleifer GWS 18V-10, Der kleine Akku-Winkelschleifer GWS 18V-10 Professional bietet verbesserte Leistungsfähigkeit und Werkzeugkontrolle in der 18V-Kategorie. Er bietet dank dem leistungsstarken bürstenlosen Motor und der ProCORE18V-Akkutechnologie über den Akku dieselbe Leistung wie ein kabelgebundener Schleifer mit 1.000 Watt. Dank Drop Control, KickBack Control und Intelligent Brake System bietet dieser kleine Winkelschleifer höheren Anwenderschutz und mehr Komfort. Er verfügt weltweit über die erste Drop Control-Funktion, über die der Schleifer nach einem versehentlichen Sturz auf den Boden sofort ausgeschaltet wird. Dieses Werkzeug eignet sich zum Schneiden und Abschleifen von Metall, Stein und Beton. Das Gerät ist kompatibel mit allen Bosch Professional 18V-Akkus und -Ladegeräten (Professional 18V System). Auch kompatibel mit AMPShare, der markenübergreifenden Akku-Allianz. Der GWS 18V-10 Professional verfügt auch über eine Schnellspannmutter. Aufnahmeflansch (ET-Nr. 2 605 703 014). Schnellspannmutter (2 608 000 684). Schutzhaube (1 605 510 365). Karton",de,BOSCH,False,11,bad
0 601 9J4 002,06019J4002,,"§Titel§Akku-Winkelschleifer GWS 18V-10 Professional§|§Neuheit bis§01.08.2020§|§Verpackungsabmessungen (Breite)§160§mm|§Verpackungsabmessungen (Länge)§395§mm|§Verpackungsabmessungen (Höhe)§135§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§160 x 395 x 135§mm|§Akkuspannung§18,0 V§|§Leerlaufdrehzahl, bis zu§9.000§min-1|§Leerlaufdrehzahl§9.000§min-1|§Schleifspindelgewinde§M14§|§Gewicht exkl. Akku§2,1§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-318277-117_jpg/detail.jpg/normal.jpg,0.135,0.16,0.395,1.4240000000000002,,main_product,1,,,,,,,,,"GWS 18V-10 (C, 125 mm) CLC",,en,BOSCH,False,13,bad
0 601 9H6 000,06019H6000,,"§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 C Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§100§mm|§Verpackungsabmessungen (Länge)§150§mm|§Verpackungsabmessungen (Höhe)§100§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§100 x 150 x 100§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,2§kg|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§9.800§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,2§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-292812-117_jpg/detail.jpg/normal.jpg,0.1,0.1,0.15,2.3,,main_product,1,,,,,,,,Akku-Winkelschleifer BITURBO GWS 18V-15 C,GWS 18V-15 C 125 mm (L) solo CLC,"Akku-Winkelschleifer BITURBO GWS 18V-15 C, Der GWS 18V-15 C Professional ist der leistungsstarke Akku-Schleifer von Bosch im 18-V-Segment mit Leistungskapazität für industrielle Anwendungen. Dank seines starken, umfassend für die ProCORE18V-Akkutechnologie optimierten bürstenlosen Motors stellt er eine Akkuleistung entsprechend der Leistungsstärke eines kabelgebundenen Geräts mit 1.500 W bereit. Das Werkzeug kann mit einem optionalen Bluetooth Connectivity-Modul nachgerüstet werden. Ausgestattet mit KickBack Control, Drop Control, Intelligent Brake System und einer werkzeuglosen Schnellspannmutter bietet dieser Schleifer umfassende Werkzeugführung. Ist geeignet zum Abschleifen und Trennen von Metall. Kompatibel mit allen Bosch Professional 18V-Akkus und -Ladegeräten (Professional 18V System) – maximale Leistung mit ProCORE18V = 8,0 Ah – sowie mit den Absaughauben GDE 115/125 FC-T Professional und GDE 125 EA-T Professional. Auch kompatibel mit AMPShare, der markenübergreifenden Akku-Allianz. Der GWS 18V-15 C Professional zeichnet sich zudem durch konstante Drehzahl, Überlastschutz, eine schlüssellose Schutzhaube, Wiederanlaufschutz, Sanftanlauf und Vibration Control aus. Aufnahmeflansch (ET-Nr. 2 605 703 014). L-BOXX 136 (1 600 A01 2G0). Schutzhaube (1 605 510 365). Zusatzhandgriff Vibration Control (2 602 025 171). Schnellspannmutter (2 608 000 684)",de,BOSCH,False,11,bad
0 601 9H6 000,06019H6000,,"§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 C Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§100§mm|§Verpackungsabmessungen (Länge)§150§mm|§Verpackungsabmessungen (Höhe)§100§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§100 x 150 x 100§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,2§kg|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§9.800§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,2§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-292812-117_jpg/detail.jpg/normal.jpg,0.1,0.1,0.15,2.3,,main_product,1,,,,,,,,Cordless angle grinder BITURBO GWS 18V-15 C,GWS 18V-15 C 125 mm (L) solo CLC,,en,BOSCH,False,12,bad
0 601 9H6 100,06019H6100,,"§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 SC Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§440§mm|§Verpackungsabmessungen (Höhe)§155§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 440 x 155§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,2§kg|§Leerlaufdrehzahl, von§3.400§min-1|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§3.400 – 9.800§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg,0.155,0.36,0.44,1.745,,main_product,1,,,,,,,,"Akku-Winkelschleifer BITURBO GWS 18V-15 SC, L-BOXX",GWS 18V-15 SC 125mm (L) solo CLC,"Akku-Winkelschleifer BITURBO GWS 18V-15 SC, Brauchst du bei deiner Arbeit die Freiheit eines Akku-Geräts aber die Leistung eines kabelgebundenen Geräts? Unser kraftvoller GWS 18V-15 SC Professional mit BITURBO Brushless Technologie liefert erstklassige, kabellose Leistung entsprechend einem kabelgebundenen 1.500-W-Gerät. Seine intelligente Bremse bringt die Scheibe schnell zum Stillstand, damit du das Werkzeug unbesorgt ablegen kannst. Das Werkzeug verfügt über ein User Interface, das dir Rückmeldung zum Status des Werkzeugs während des Betriebs gibt, und das standardmäßig die Einstellung von 3 verschiedenen Drehzahlstufen erlaubt. Darüber hinaus kann der Schleifer optional mit einem Bluetooth Connectivity-Modul nachgerüstet werden. Dies erlaubt die Einstellung von bis zu 6 individuellen Drehzahlstufen über die Bosch Toolbox App. Der Winkelschleifer bietet außerdem KickBack Control, Drop Control, Sanftanlauf, Vibration Control und eine Schnellspannmutter für bequeme Zubehörwechsel. Er ist deal zum Schleifen von Metall und Schweißnähten sowie zum Trennen von Metall, Beton, Ziegel und Fliesen. Für eine staubarme Arbeitsumgebung den GWS 18V-15 SC Professional in Kombination mit der Absaughaube GDE 125 EA-T Professional oder GDE 115/125 FC-T Professional verwenden. Kompatibel mit dem Bosch Professional 18V System und mit der markenübergreifenden AMPShare Akku-Allianz. Für maximale Leistung einen ProCORE18V ≥ 5,5 Ah verwenden. Aufnahmeflansch (ET-Nr. 2 605 703 014). L-BOXX 136 (1 600 A01 2G0). Schutzhaube (1 605 510 365). Zusatzhandgriff Vibration Control (2 602 025 171). Schnellspannmutter (2 608 000 684)",de,BOSCH,False,11,bad
0 601 9H6 100,06019H6100,,"§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 SC Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§440§mm|§Verpackungsabmessungen (Höhe)§155§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 440 x 155§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,2§kg|§Leerlaufdrehzahl, von§3.400§min-1|§Leerlaufdrehzahl, bis zu§9.800§min-1|§Leerlaufdrehzahl§3.400 – 9.800§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§125§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg,0.155,0.36,0.44,1.745,,main_product,1,,,,,,,,"Cordless angle grinder BITURBO GWS 18V-15 SC, L-BOXX",,,en,BOSCH,False,13,bad
0 601 9H6 300,06019H6300,,"§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 SC Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§442§mm|§Verpackungsabmessungen (Höhe)§152§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 442 x 152§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,3§kg|§Leerlaufdrehzahl, von§2.600§min-1|§Leerlaufdrehzahl, bis zu§7.400§min-1|§Leerlaufdrehzahl§2.600 – 7.400§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§150§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg,0.152,0.36,0.442,1.78,,main_product,1,,,,,,,,"Akku-Winkelschleifer BITURBO GWS 18V-15 SC, L-BOXX, GCY 42",GWS 18V-15 SC 150mm (L) solo CLC,"Akku-Winkelschleifer BITURBO GWS 18V-15 SC, Brauchst du bei deiner Arbeit die Freiheit eines Akku-Geräts aber die Leistung eines kabelgebundenen Geräts? Unser kraftvoller GWS 18V-15 SC Professional mit BITURBO Brushless Technologie liefert erstklassige, kabellose Leistung entsprechend einem kabelgebundenen 1.500-W-Gerät. Seine intelligente Bremse bringt die Scheibe schnell zum Stillstand, damit du das Werkzeug unbesorgt ablegen kannst. Das Werkzeug verfügt über ein User Interface, das dir Rückmeldung zum Status des Werkzeugs während des Betriebs gibt, und das standardmäßig die Einstellung von 3 verschiedenen Drehzahlstufen erlaubt. Darüber hinaus kann der Schleifer optional mit einem Bluetooth Connectivity-Modul nachgerüstet werden. Dies erlaubt die Einstellung von bis zu 6 individuellen Drehzahlstufen über die Bosch Toolbox App. Der Winkelschleifer bietet außerdem KickBack Control, Drop Control, Sanftanlauf, Vibration Control und eine Schnellspannmutter für bequeme Zubehörwechsel. Er ist deal zum Schleifen von Metall und Schweißnähten sowie zum Trennen von Metall, Beton, Ziegel und Fliesen. Für eine staubarme Arbeitsumgebung den GWS 18V-15 SC Professional in Kombination mit der Absaughaube GDE 125 EA-T Professional oder GDE 115/125 FC-T Professional verwenden. Kompatibel mit dem Bosch Professional 18V System und mit der markenübergreifenden AMPShare Akku-Allianz. Für maximale Leistung einen ProCORE18V ≥ 5,5 Ah verwenden. Aufnahmeflansch (ET-Nr. 2 605 703 014). L-BOXX 136 (1 600 A01 2G0). Zusatzhandgriff Vibration Control (2 602 025 171). Schnellspannmutter (2 608 000 684). Schutzhaube (1 605 510 366)",de,BOSCH,False,11,bad
0 601 9H6 300,06019H6300,,"§Titel§Akku-Winkelschleifer BITURBO GWS 18V-15 SC Professional§|§Neuheit bis§15.11.2020§|§Verpackungsabmessungen (Breite)§360§mm|§Verpackungsabmessungen (Länge)§442§mm|§Verpackungsabmessungen (Höhe)§152§mm|§Verpackungsabmessungen (Breite x Länge x Höhe)§360 x 442 x 152§mm|§Akkuspannung§18,0 V§|§Gewicht inkl. Akku§3,3§kg|§Leerlaufdrehzahl, von§2.600§min-1|§Leerlaufdrehzahl, bis zu§7.400§min-1|§Leerlaufdrehzahl§2.600 – 7.400§min-1|§Schleifspindelgewinde§M14§|§Bohrung, Ø§22,2§mm|§Gewicht exkl. Akku§2,3§kg|§Scheiben-Ø§150§mm|§Unterteilung der Produktkategorien§Akku-Winkelschleifer BITURBO§",,,'https://www.nexmart.com/media/catalog/ampshare/bosch/img-rd-293532-117_jpg/detail.jpg/normal.jpg,0.152,0.36,0.442,1.78,,main_product,1,,,,,,,,"Cordless angle grinder BITURBO GWS 18V-15 SC, L-BOXX, GCY 42",GWS 18V-15 SC 150mm (L) solo CLC,,en,BOSCH,False,12,bad
