Manufacturer name,field_name,completion_rate
BOSCH,Picture normal reduced,100.0
BOSCH,Short description,97.14
BOSCH,Technical details,97.14
BOSCH,Short description 2,94.29
BOSCH,EAN,81.43
BOSCH,Long description,80.0
FEIN,Short description,100.0
FEIN,Long description,100.0
FEIN,EAN,100.0
FEIN,Picture normal reduced,100.0
FEIN,Technical details,100.0
FEIN,Short description 2,0.0
FISCHER,Short description,100.0
FISCHER,Short description 2,100.0
FISCHER,Long description,100.0
FISCHER,EAN,100.0
FISCHER,Picture normal reduced,100.0
FISCHER,Technical details,100.0
GUSTAV KLAUKE GMBH,Short description,100.0
GUSTAV KLAUKE GMBH,Long description,100.0
GUSTAV KLAUKE GMBH,EAN,100.0
GUSTAV KLAUKE GMBH,Technical details,100.0
GUSTAV KLAUKE GMBH,Picture normal reduced,90.0
GUSTAV KLAUKE GMBH,Short description 2,0.0
ROTHENBERGER,Short description,100.0
ROTHENBERGER,Long description,100.0
ROTHENBERGER,EAN,100.0
ROTHENBERGER,Picture normal reduced,100.0
ROTHENBERGER,Technical details,100.0
ROTHENBERGER,Short description 2,0.0
